編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-08-16 08:37:27,121.848,23.8083,4,8.5,花蓮縣政府東南方  30.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-16 09:32:05,121.848,24.4092,3.3,10.7,宜蘭縣政府南南東方  36.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-16 13:13:35,121.686,23.9652,3.3,10.6,花蓮縣政府東南東方  7.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-16 13:29:01,121.713,23.8212,4.2,11.8,花蓮縣政府南南東方  21.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-16 15:42:37,121.471,23.5117,3.7,19.7,花蓮縣政府南南西方  55.2  公里 (位於花蓮縣瑞穗鄉)(花蓮縣瑞穗鄉)
450   ,2024-08-17 03:27:29,121.619,23.741,4.1,8.1,花蓮縣政府南方  27.7  公里 (位於花蓮縣近海)(花蓮縣近海)
451   ,2024-08-17 04:41:28,121.632,23.8237,4.3,21.6,花蓮縣政府南方  18.6  公里 (位於花蓮縣近海)(花蓮縣近海)
452   ,2024-08-17 06:19:28,121.462,23.8522,4.7,16.5,花蓮縣政府西南方  22.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-08-17 06:32:26,121.759,24.3813,3.8,23.5,宜蘭縣政府南方  38.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
453   ,2024-08-17 13:20:12,121.857,24.418,4,12.8,宜蘭縣政府南南東方  35.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
454   ,2024-08-17 21:10:12,121.868,24.411,5.1,10.6,宜蘭縣政府南南東方  37.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-18 00:18:29,121.872,24.4173,3.7,11.5,宜蘭縣政府南南東方  36.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-18 12:49:09,121.636,24.2287,3,15,花蓮縣政府北方  26.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-18 13:27:13,120.976,22.5185,3.9,16.3,臺東縣政府西南方  31.8  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2024-08-18 17:05:29,121.287,24.0133,3,5,花蓮縣政府西方  34.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
455   ,2024-08-18 18:58:40,121.607,23.7225,4.1,6,花蓮縣政府南方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-19 18:43:22,121.674,24.2358,3.2,10.2,花蓮縣政府北北東方  27.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-20 04:17:28,121.619,23.9845,3.6,32.5,花蓮縣政府南南西方  .7  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024-08-20 20:49:33,121.928,24.8217,4.6,94.6,宜蘭縣政府東北東方  19.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-21 02:53:10,121.846,24.1917,4.3,5,花蓮縣政府東北方  32.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-21 08:17:12,120.682,23.9273,3.7,23.5,南投縣政府北北西方  2.9  公里 (位於南投縣南投市)(南投縣南投市)
小區域有感地震,2024-08-21 14:07:42,121.865,24.411,3.3,11.6,宜蘭縣政府南南東方  36.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-22 04:06:14,121.441,23.2992,3.9,25.1,臺東縣政府北北東方  67.2  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2024-08-22 07:49:38,121.658,24.1667,3.5,34.1,花蓮縣政府北北東方  19.8  公里 (位於花蓮縣近海)(花蓮縣近海)
456   ,2024-08-22 09:23:27,121.52,24.0412,4.2,16.7,花蓮縣政府西北西方  11.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-22 19:14:50,121.063,21.7667,4,20.8,臺東縣政府南方  109.8  公里 (位於臺灣東南部海域)(臺灣東南部海域)
457   ,2024-08-22 21:56:42,121.95,24.4353,4.1,15.2,宜蘭縣政府南南東方  37.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-23 19:39:39,121.67,23.9265,4.1,19.3,花蓮縣政府東南方  8.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-24 06:49:17,121.859,24.4278,3.7,11.3,宜蘭縣政府南南東方  34.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
